Index,day,biomassH,day,biomassHF,day,biomass2015,day,yieldH,day,yieldHF,day,yield2015,day,laiH,day,laiHF,day,lai2015,day,biomassM,day,biomassM,biomassMStdError,day,laiM,day,laiM,laiMStdError,Index,day,SAT ,day,SW2015,day,DUL ,day,LL ,day,NO32015,day,ST2015,day,SWM,day,SWM,SWMStdError,day,NO3M,day,NO3M,NO3MStdError,day,STM,day,STM,STMStdError
10,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,,,,,,,,,,,10,11,139.2,11,89.567,11,98.4,11,56.9,11,8.162,11,-10.759,131,108.229,131,108.229,5.411,,,,,,131,13.266,131,13.266,0.663
11,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,,,,,,,,,,,11,12,139.2,12,89.387,12,98.4,12,56.9,12,8.161,12,-8.707,132,112.768,132,112.768,5.638,,,,,,132,13.04,132,13.04,0.652
12,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,,,,,,,,,,,12,13,139.2,13,89.353,13,98.4,13,56.9,13,8.16,13,-11.018,133,103.69,133,103.69,5.184,,,,,,133,13.493,133,13.493,0.675
13,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,,,,,,,,,,,13,14,139.2,14,89.301,14,98.4,14,56.9,14,8.16,14,-12.697,134,94.637,134,94.637,4.732,,,,,,134,13.513,134,13.513,0.676
14,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,,,,,,,,,,,14,15,139.2,15,89.202,15,98.4,15,56.9,15,8.159,15,-9.171,135,111.282,135,111.282,5.564,,,,,,135,15.192,135,15.192,0.76
15,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,,,,,,,,,,,15,16,139.2,16,88.618,16,98.4,16,56.9,16,8.158,16,-5.457,136,102.96,136,102.96,5.148,,,,,,136,14.352,136,14.352,0.718
16,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,,,,,,,,,,,16,17,139.2,17,87.355,17,98.4,17,56.9,17,8.158,17,-2.038,137,92.767,137,92.767,4.638,,,,,,137,13.381,137,13.381,0.669
17,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,,,,,,,,,,,17,18,139.2,18,86.659,18,98.4,18,56.9,18,8.166,18,0.475,138,94.507,138,94.507,4.725,,,,,,138,12.791,138,12.791,0.64
18,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,,,,,,,,,,,18,19,139.2,19,85.542,19,98.4,19,56.9,19,8.173,19,0.845,139,91.027,139,91.027,4.551,,,,,,139,13.971,139,13.971,0.699
19,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,,,,,,,,,,,19,20,139.2,20,85.258,20,98.4,20,56.9,20,8.179,20,0.717,140,88.411,140,88.411,4.421,,,,,,140,12.189,140,12.189,0.609
20,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,,,,,,,,,,,20,21,139.2,21,84.771,21,98.4,21,56.9,21,8.189,21,1.06,141,92.546,141,92.546,4.627,,,,,,141,13.155,141,13.155,0.658
21,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,,,,,,,,,,,21,22,139.2,22,84.687,22,98.4,22,56.9,22,8.191,22,0.19,142,90.478,142,90.478,4.524,,,,,,142,12.672,142,12.672,0.634
22,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,,,,,,,,,,,22,23,139.2,23,84.643,23,98.4,23,56.9,23,8.192,23,-1.04,143,94.789,143,94.789,4.739,,,,,,143,12.525,143,12.525,0.626
23,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,,,,,,,,,,,23,24,139.2,24,83.967,24,98.4,24,56.9,24,8.194,24,-0.621,144,98.233,144,98.233,4.912,,,,,,144,12.198,144,12.198,0.61
24,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,,,,,,,,,,,24,25,139.2,25,82.902,25,98.4,25,56.9,25,8.199,25,0.913,145,91.346,145,91.346,4.567,,,,,,145,12.852,145,12.852,0.643
25,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,,,,,,,,,,,25,26,139.2,26,84.682,26,98.4,26,56.9,26,8.222,26,0.883,146,88.812,146,88.812,4.441,,,,,,146,13.763,146,13.763,0.688
26,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,,,,,,,,,,,26,27,139.2,27,83.399,27,98.4,27,56.9,27,8.245,27,1.781,147,87.479,147,87.479,4.374,,,,,,147,13.94,147,13.94,0.697
27,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,,,,,,,,,,,27,28,139.2,28,82.187,28,98.4,28,56.9,28,8.263,28,1.767,148,88.146,148,88.146,4.407,,,,,,148,13.851,148,13.851,0.693
28,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,,,,,,,,,,,28,29,139.2,29,81.457,29,98.4,29,56.9,29,8.284,29,1.949,149,79.112,149,79.112,3.956,,,,,,149,16.292,149,16.292,0.815
29,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,,,,,,,,,,,29,30,139.2,30,81.391,30,98.4,30,56.9,30,8.291,30,0.144,150,79.105,150,79.105,3.955,,,,,,150,16.698,150,16.698,0.835
30,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,,,,,,,,,,,30,31,139.2,31,81.1,31,98.4,31,56.9,31,8.296,31,-1.992,151,79.118,151,79.118,3.956,,,,,,151,15.887,151,15.887,0.794
31,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,,,,,,,,,,,31,32,139.2,32,83.381,32,98.4,32,56.9,32,8.318,32,-0.899,152,99.249,152,99.249,4.962,,,,,,152,14.203,152,14.203,0.71
32,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,,,,,,,,,,,32,33,139.2,33,83.381,33,98.4,33,56.9,33,8.323,33,-3.217,153,110.972,153,110.972,5.549,,,,,,153,16.046,153,16.046,0.802
33,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,,,,,,,,,,,33,34,139.2,34,83.482,34,98.4,34,56.9,34,8.329,34,-8.1,154,105.111,154,105.111,5.256,,,,,,154,15.124,154,15.124,0.756
34,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,,,,,,,,,,,34,35,139.2,35,83.559,35,98.4,35,56.9,35,8.335,35,-8.992,155,95.006,155,95.006,4.75,,,,,,155,18.472,155,18.472,0.924
35,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,,,,,,,,,,,35,36,139.2,36,83.653,36,98.4,36,56.9,36,8.341,36,-10.201,156,97.062,156,97.062,4.853,,,,,,156,18.749,156,18.749,0.937
36,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,,,,,,,,,,,36,37,139.2,37,83.742,37,98.4,37,56.9,37,8.348,37,-12.129,157,92.949,157,92.949,4.647,,,,,,157,18.196,157,18.196,0.91
37,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,,,,,,,,,,,37,38,139.2,38,87.782,38,98.4,38,56.9,38,8.39,38,-8.118,158,82.951,158,82.951,4.148,,,,,,158,18.2,158,18.2,0.91
38,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,,,,,,,,,,,38,39,139.2,39,86.387,39,98.4,39,56.9,39,8.397,39,-3.489,159,80.99,159,80.99,4.049,,,,,,159,20.868,159,20.868,1.043
39,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,,,,,,,,,,,39,40,139.2,40,86.029,40,98.4,40,56.9,40,8.405,40,-1.109,160,81.971,160,81.971,4.099,,,,,,160,19.534,160,19.534,0.977
40,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,,,,,,,,,,,40,41,139.2,41,85.968,41,98.4,41,56.9,41,8.412,41,-1.1,161,83.473,161,83.473,4.174,,,,,,161,19.769,161,19.769,0.988
41,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,,,,,,,,,,,41,42,139.2,42,85.782,42,98.4,42,56.9,42,8.42,42,-1.367,162,85.143,162,85.143,4.257,,,,,,162,20.117,162,20.117,1.006
42,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,,,,,,,,,,,42,43,139.2,43,85.659,43,98.4,43,56.9,43,8.43,43,-3.261,163,81.804,163,81.804,4.09,,,,,,163,19.422,163,19.422,0.971
43,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,,,,,,,,,,,43,44,139.2,44,85.79,44,98.4,44,56.9,44,8.438,44,-7.613,164,74.803,164,74.803,3.74,,,,,,164,18.478,164,18.478,0.924
44,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,,,,,,,,,,,44,45,139.2,45,85.329,45,98.4,45,56.9,45,8.447,45,-5.783,165,74.891,165,74.891,3.745,,,,,,165,19.716,165,19.716,0.986
45,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,,,,,,,,,,,45,46,139.2,46,85.335,46,98.4,46,56.9,46,8.456,46,-6.723,166,74.847,166,74.847,3.742,,,,,,166,19.097,166,19.097,0.955
46,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,,,,,,,,,,,46,47,139.2,47,85.502,47,98.4,47,56.9,47,8.465,47,-9.397,167,72.782,167,72.782,3.639,,,,,,167,17.864,167,17.864,0.893
47,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,,,,,,,,,,,47,48,139.2,48,85.59,48,98.4,48,56.9,48,8.474,48,-8.1,168,75.91,168,75.91,3.796,,,,,,168,17.94,168,17.94,0.897
48,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,,,,,,,,,,,48,49,139.2,49,85.717,49,98.4,49,56.9,49,8.483,49,-8.294,169,69.654,169,69.654,3.483,,,,,,169,17.789,169,17.789,0.889
49,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,,,,,,,,,,,49,50,139.2,50,85.885,50,98.4,50,56.9,50,8.493,50,-10.867,170,63.689,170,63.689,3.184,,,,,,170,17.996,170,17.996,0.9
50,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,,,,,,,,,,,50,51,139.2,51,86.029,51,98.4,51,56.9,51,8.502,51,-12.039,171,63.176,171,63.176,3.159,,,,,,171,19.472,171,19.472,0.974
51,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,,,,,,,,,,,51,52,139.2,52,85.726,52,98.4,52,56.9,52,8.512,52,-8.177,172,63.432,172,63.432,3.172,,,,,,172,18.734,172,18.734,0.937
52,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0,,,,,,,,,,,52,53,139.2,53,85.73,53,98.4,53,56.9,53,8.522,53,-6.792,173,68.045,173,68.045,3.402,,,,,,173,22.069,173,22.069,1.103
53,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,,,,,,,,,,,53,54,139.2,54,85.902,54,98.4,54,56.9,54,8.532,54,-10.168,174,71.016,174,71.016,3.551,,,,,,174,21.912,174,21.912,1.096
54,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,,,,,,,,,,,54,55,139.2,55,86.034,55,98.4,55,56.9,55,8.543,55,-11.874,175,65.074,175,65.074,3.254,,,,,,175,22.225,175,22.225,1.111
55,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,,,,,,,,,,,55,56,139.2,56,85.592,56,98.4,56,56.9,56,8.553,56,-7.449,176,59.247,176,59.247,2.962,,,,,,176,21.876,176,21.876,1.094
56,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,,,,,,,,,,,56,57,139.2,57,85.749,57,98.4,57,56.9,57,8.564,57,-7.783,,,,,,,,,,,,,,,
57,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,,,,,,,,,,,57,58,139.2,58,85.942,58,98.4,58,56.9,58,8.575,58,-12.046,,,,,,,,,,,,,,,
58,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,,,,,,,,,,,58,59,139.2,59,86.098,59,98.4,59,56.9,59,8.586,59,-13.675,,,,,,,,,,,,,,,
59,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,,,,,,,,,,,59,60,139.2,60,86.445,60,98.4,60,56.9,60,8.599,60,-12.627,,,,,,,,,,,,,,,
60,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,,,,,,,,,,,60,61,139.2,61,86.26,61,98.4,61,56.9,61,8.61,61,-8.908,,,,,,,,,,,,,,,
61,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,,,,,,,,,,,61,62,139.2,62,86.256,62,98.4,62,56.9,62,8.621,62,-7.61,,,,,,,,,,,,,,,
62,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,,,,,,,,,,,62,63,139.2,63,86.27,63,98.4,63,56.9,63,8.632,63,-6.39,,,,,,,,,,,,,,,
63,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,,,,,,,,,,,63,64,139.2,64,86.279,64,98.4,64,56.9,64,8.643,64,-7.636,,,,,,,,,,,,,,,
64,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,,,,,,,,,,,64,65,139.2,65,86.375,65,98.4,65,56.9,65,8.655,65,-10.127,,,,,,,,,,,,,,,
65,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,,,,,,,,,,,65,66,139.2,66,84.577,66,98.4,66,56.9,66,8.666,66,-5.879,,,,,,,,,,,,,,,
66,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,,,,,,,,,,,66,67,139.2,67,82.841,67,98.4,67,56.9,67,8.677,67,-1.408,,,,,,,,,,,,,,,
67,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,,,,,,,,,,,67,68,139.2,68,81.742,68,98.4,68,56.9,68,8.697,68,1.058,,,,,,,,,,,,,,,
68,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,,,,,,,,,,,68,69,139.2,69,81.041,69,98.4,69,56.9,69,8.741,69,2.761,,,,,,,,,,,,,,,
69,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,,,,,,,,,,,69,70,139.2,70,80.573,70,98.4,70,56.9,70,8.884,70,5.693,,,,,,,,,,,,,,,
70,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,,,,,,,,,,,70,71,139.2,71,80.255,71,98.4,71,56.9,71,9.089,71,6.697,,,,,,,,,,,,,,,
71,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,,,,,,,,,,,71,72,139.2,72,79.988,72,98.4,72,56.9,72,9.441,72,9.034,,,,,,,,,,,,,,,
72,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,,,,,,,,,,,72,73,139.2,73,79.777,73,98.4,73,56.9,73,9.889,73,10.038,,,,,,,,,,,,,,,
73,74,0,74,0,74,0,74,0,74,0,74,0,74,0,74,0,74,0,,,,,,,,,,,73,74,139.2,74,79.595,74,98.4,74,56.9,74,10.301,74,9.54,,,,,,,,,,,,,,,
74,75,0,75,0,75,0,75,0,75,0,75,0,75,0,75,0,75,0,,,,,,,,,,,74,75,139.2,75,79.49,75,98.4,75,56.9,75,10.717,75,9.777,,,,,,,,,,,,,,,
75,76,0,76,0,76,0,76,0,76,0,76,0,76,0,76,0,76,0,,,,,,,,,,,75,76,139.2,76,79.299,76,98.4,76,56.9,76,11.403,76,13.088,,,,,,,,,,,,,,,
76,77,0,77,0,77,0,77,0,77,0,77,0,77,0,77,0,77,0,,,,,,,,,,,76,77,139.2,77,79.206,77,98.4,77,56.9,77,11.867,77,9.934,,,,,,,,,,,,,,,
77,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,,,,,,,,,,,77,78,139.2,78,79.13,78,98.4,78,56.9,78,12.146,78,7.917,,,,,,,,,,,,,,,
78,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,,,,,,,,,,,78,79,139.2,79,79.099,79,98.4,79,56.9,79,12.352,79,6.726,,,,,,,,,,,,,,,
79,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,,,,,,,,,,,79,80,139.2,80,78.911,80,98.4,80,56.9,80,12.61,80,8.186,,,,,,,,,,,,,,,
80,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,,,,,,,,,,,80,81,139.2,81,78.798,81,98.4,81,56.9,81,12.899,81,8.521,,,,,,,,,,,,,,,
81,82,0,82,0,82,0,82,0,82,0,82,0,82,0,82,0,82,0,,,,,,,,,,,81,82,139.2,82,78.886,82,98.4,82,56.9,82,13.177,82,8.331,,,,,,,,,,,,,,,
82,83,0,83,0,83,0,83,0,83,0,83,0,83,0,83,0,83,0,,,,,,,,,,,82,83,139.2,83,79.405,83,98.4,83,56.9,83,13.31,83,4.787,,,,,,,,,,,,,,,
83,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,,,,,,,,,,,83,84,139.2,84,81.528,84,98.4,84,56.9,84,13.375,84,2.535,,,,,,,,,,,,,,,
84,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,,,,,,,,,,,84,85,139.2,85,82.059,85,98.4,85,56.9,85,13.44,85,3.232,,,,,,,,,,,,,,,
85,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,,,,,,,,,,,85,86,139.2,86,80.57,86,98.4,86,56.9,86,13.49,86,3.192,,,,,,,,,,,,,,,
86,87,0,87,0,87,0,87,0,87,0,87,0,87,0,87,0,87,0,,,,,,,,,,,86,87,139.2,87,79.843,87,98.4,87,56.9,87,13.522,87,2.072,,,,,,,,,,,,,,,
87,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,,,,,,,,,,,87,88,139.2,88,79.258,88,98.4,88,56.9,88,13.572,88,3.542,,,,,,,,,,,,,,,
88,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,,,,,,,,,,,88,89,139.2,89,79.098,89,98.4,89,56.9,89,13.715,89,6.419,,,,,,,,,,,,,,,
89,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,,,,,,,,,,,89,90,139.2,90,78.834,90,98.4,90,56.9,90,14.03,90,9.766,,,,,,,,,,,,,,,
90,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,,,,,,,,,,,90,91,139.2,91,78.675,91,98.4,91,56.9,91,14.502,91,11.842,,,,,,,,,,,,,,,
91,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,,,,,,,,,,,91,92,139.2,92,78.811,92,98.4,92,56.9,92,15.214,92,14.757,,,,,,,,,,,,,,,
92,93,0,93,0,93,0,93,0,93,0,93,0,93,0,93,0,93,0,,,,,,,,,,,92,93,139.2,93,89.694,93,98.4,93,56.9,93,16.115,93,13.085,,,,,,,,,,,,,,,
93,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,,,,,,,,,,,93,94,139.2,94,87.116,94,98.4,94,56.9,94,16.408,94,7.888,,,,,,,,,,,,,,,
94,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,,,,,,,,,,,94,95,139.2,95,83.953,95,98.4,95,56.9,95,16.604,95,7.718,,,,,,,,,,,,,,,
95,96,0,96,0,96,0,96,0,96,0,96,0,96,0,96,0,96,0,,,,,,,,,,,95,96,139.2,96,81.978,96,98.4,96,56.9,96,16.971,96,11.177,,,,,,,,,,,,,,,
96,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,,,,,,,,,,,96,97,139.2,97,82.612,97,98.4,97,56.9,97,17.366,97,11.075,,,,,,,,,,,,,,,
97,98,0,98,0,98,0,98,0,98,0,98,0,98,0,98,0,98,0,,,,,,,,,,,97,98,139.2,98,84.2,98,98.4,98,56.9,98,17.652,98,9.142,,,,,,,,,,,,,,,
98,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,,,,,,,,,,,98,99,139.2,99,93.382,99,98.4,99,56.9,99,17.99,99,8.081,,,,,,,,,,,,,,,
99,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,,,,,,,,,,,99,100,139.2,100,100.207,100,98.4,100,56.9,100,18.21,100,6.737,,,,,,,,,,,,,,,
100,101,0,101,0,101,0,101,0,101,0,101,0,101,0,101,0,101,0,,,,,,,,,,,100,101,139.2,101,96.435,101,98.4,101,56.9,101,18.389,101,6.897,,,,,,,,,,,,,,,
101,102,0,102,0,102,0,102,0,102,0,102,0,102,0,102,0,102,0,,,,,,,,,,,101,102,139.2,102,92.259,102,98.4,102,56.9,102,18.713,102,9.228,,,,,,,,,,,,,,,
102,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,,,,,,,,,,,102,103,139.2,103,93.483,103,98.4,103,56.9,103,19.264,103,11.652,,,,,,,,,,,,,,,
103,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,,,,,,,,,,,103,104,139.2,104,89.372,104,98.4,104,56.9,104,19.617,104,11.27,,,,,,,,,,,,,,,
104,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,,,,,,,,,,,104,105,139.2,105,86.802,105,98.4,105,56.9,105,19.951,105,11.156,,,,,,,,,,,,,,,
105,106,0,106,0,106,0,106,0,106,0,106,0,106,0,106,0,106,0,,,,,,,,,,,105,106,139.2,106,85.247,106,98.4,106,56.9,106,20.36,106,12.528,,,,,,,,,,,,,,,
106,107,0,107,0,107,0,107,0,107,0,107,0,107,0,107,0,107,0,,,,,,,,,,,106,107,139.2,107,84.22,107,98.4,107,56.9,107,20.945,107,15.14,,,,,,,,,,,,,,,
107,108,0,108,0,108,0,108,0,108,0,108,0,108,0,108,0,108,0,,,,,,,,,,,107,108,139.2,108,83.453,108,98.4,108,56.9,108,21.69,108,17.09,,,,,,,,,,,,,,,
108,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,,,,,,,,,,,108,109,139.2,109,99.62,109,98.4,109,56.9,109,22.634,109,16.032,,,,,,,,,,,,,,,
109,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,,,,,,,,,,,109,110,139.2,110,114.09,110,98.4,110,56.9,110,23.097,110,14.003,,,,,,,,,,,,,,,
110,111,0,111,0,111,0,111,0,111,0,111,0,111,0,111,0,111,0,,,,,,,,,,,110,111,139.2,111,109.921,111,98.4,111,56.9,111,22.835,111,10.254,,,,,,,,,,,,,,,
111,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,,,,,,,,,,,111,112,139.2,112,105.22,112,98.4,112,56.9,112,22.692,112,8.353,,,,,,,,,,,,,,,
112,113,0,113,0,113,0,113,0,113,0,113,0,113,0,113,0,113,0,,,,,,,,,,,112,113,139.2,113,100.438,113,98.4,113,56.9,113,55.145,113,7.377,,,,,,,,,,,,,,,
113,114,0,114,0,114,0,114,0,114,0,114,0,114,0,114,0,114,0,,,,,,,,,,,113,114,139.2,114,96.302,114,98.4,114,56.9,114,55.407,114,7.8,,,,,,,,,,,,,,,
114,115,0,115,0,115,0,115,0,115,0,115,0,115,0,115,0,115,0,,,,,,,,,,,114,115,139.2,115,104.992,115,98.4,115,56.9,115,56.678,115,8.629,,,,,,,,,,,,,,,
115,116,0,116,0,116,0,116,0,116,0,116,0,116,0,116,0,116,0,,,,,,,,,,,115,116,139.2,116,103.938,116,98.4,116,56.9,116,58.007,116,8.559,,,,,,,,,,,,,,,
116,117,0,117,0,117,0,117,0,117,0,117,0,117,0,117,0,117,0,,,,,,,,,,,116,117,139.2,117,99.022,117,98.4,117,56.9,117,59.68,117,8.834,,,,,,,,,,,,,,,
117,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,,,,,,,,,,,117,118,139.2,118,94.442,118,98.4,118,56.9,118,60.958,118,9.553,,,,,,,,,,,,,,,
118,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,,,,,,,,,,,118,119,139.2,119,91.341,119,98.4,119,56.9,119,63.084,119,11.766,,,,,,,,,,,,,,,
119,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,,,,,,,,,,,119,120,139.2,120,89.444,120,98.4,120,56.9,120,66.094,120,13.776,,,,,,,,,,,,,,,
