Index,day,biomass,day,biomass,day,yield,day,yield,day,lai,day,lai,day,biomass,day,biomass,StdError,day,lai,day,lai,StdError,biomassMStdError,day,laiM,day,laiM,laiMStdError,Index,day,SAT_30cm,day,SW_30cm,day,DUL_30cm,day,LL_30cm,day,NO3_30cm,day,ST_30cm,day,SW_30cm,day,SW_30cm,StdError,day,NO3_30cm,day,NO3_30cm,StdError,day,ST_30cm,day,ST_30cm,StdError
10,11,0,11,0,11,0,11,0,11,0,11,0,,,,,,,,,,,,,,,,,10,11,164.1,11,108.504,11,118.8,11,69.3,11,32.801,11,-11.703,131,108.229,131,108.229,5.411,,,,,,131,13.266,131,13.266,0.663
11,12,0,12,0,12,0,12,0,12,0,12,0,,,,,,,,,,,,,,,,,11,12,164.1,12,108.454,12,118.8,12,69.3,12,32.782,12,-10.531,132,112.768,132,112.768,5.638,,,,,,132,13.04,132,13.04,0.652
12,13,0,13,0,13,0,13,0,13,0,13,0,,,,,,,,,,,,,,,,,12,13,164.1,13,108.419,13,118.8,13,69.3,13,32.764,13,-12.45,133,103.69,133,103.69,5.184,,,,,,133,13.493,133,13.493,0.675
13,14,0,14,0,14,0,14,0,14,0,14,0,,,,,,,,,,,,,,,,,13,14,164.1,14,108.372,14,118.8,14,69.3,14,32.745,14,-13.287,134,94.637,134,94.637,4.732,,,,,,134,13.513,134,13.513,0.676
14,15,0,15,0,15,0,15,0,15,0,15,0,,,,,,,,,,,,,,,,,14,15,164.1,15,108.285,15,118.8,15,69.3,15,32.727,15,-10.058,135,111.282,135,111.282,5.564,,,,,,135,15.192,135,15.192,0.76
15,16,0,16,0,16,0,16,0,16,0,16,0,,,,,,,,,,,,,,,,,15,16,164.1,16,108.003,16,118.8,16,69.3,16,32.71,16,-6.616,136,102.96,136,102.96,5.148,,,,,,136,14.352,136,14.352,0.718
16,17,0,17,0,17,0,17,0,17,0,17,0,,,,,,,,,,,,,,,,,16,17,164.1,17,107.718,17,118.8,17,69.3,17,32.695,17,-4.419,137,92.767,137,92.767,4.638,,,,,,137,13.381,137,13.381,0.669
17,18,0,18,0,18,0,18,0,18,0,18,0,,,,,,,,,,,,,,,,,17,18,164.1,18,107.477,18,118.8,18,69.3,18,32.679,18,-2.631,138,94.507,138,94.507,4.725,,,,,,138,12.791,138,12.791,0.64
18,19,0,19,0,19,0,19,0,19,0,19,0,,,,,,,,,,,,,,,,,18,19,164.1,19,106.603,19,118.8,19,69.3,19,32.656,19,-1.004,139,91.027,139,91.027,4.551,,,,,,139,13.971,139,13.971,0.699
19,20,0,20,0,20,0,20,0,20,0,20,0,,,,,,,,,,,,,,,,,19,20,164.1,20,106.871,20,118.8,20,69.3,20,32.644,20,-0.381,140,88.411,140,88.411,4.421,,,,,,140,12.189,140,12.189,0.609
20,21,0,21,0,21,0,21,0,21,0,21,0,,,,,,,,,,,,,,,,,20,21,164.1,21,106.704,21,118.8,21,69.3,21,32.63,21,-0.308,141,92.546,141,92.546,4.627,,,,,,141,13.155,141,13.155,0.658
21,22,0,22,0,22,0,22,0,22,0,22,0,,,,,,,,,,,,,,,,,21,22,164.1,22,106.576,22,118.8,22,69.3,22,32.618,22,-1.295,142,90.478,142,90.478,4.524,,,,,,142,12.672,142,12.672,0.634
22,23,0,23,0,23,0,23,0,23,0,23,0,,,,,,,,,,,,,,,,,22,23,164.1,23,106.386,23,118.8,23,69.3,23,32.606,23,-1.511,143,94.789,143,94.789,4.739,,,,,,143,12.525,143,12.525,0.626
23,24,0,24,0,24,0,24,0,24,0,24,0,,,,,,,,,,,,,,,,,23,24,164.1,24,106.046,24,118.8,24,69.3,24,32.596,24,-0.907,144,98.233,144,98.233,4.912,,,,,,144,12.198,144,12.198,0.61
24,25,0,25,0,25,0,25,0,25,0,25,0,,,,,,,,,,,,,,,,,24,25,164.1,25,105.372,25,118.8,25,69.3,25,32.58,25,0.025,145,91.346,145,91.346,4.567,,,,,,145,12.852,145,12.852,0.643
25,26,0,26,0,26,0,26,0,26,0,26,0,,,,,,,,,,,,,,,,,25,26,164.1,26,107.005,26,118.8,26,69.3,26,32.585,26,0.01,146,88.812,146,88.812,4.441,,,,,,146,13.763,146,13.763,0.688
26,27,0,27,0,27,0,27,0,27,0,27,0,,,,,,,,,,,,,,,,,26,27,164.1,27,106.004,27,118.8,27,69.3,27,32.54,27,1.23,147,87.479,147,87.479,4.374,,,,,,147,13.94,147,13.94,0.697
27,28,0,28,0,28,0,28,0,28,0,28,0,,,,,,,,,,,,,,,,,27,28,164.1,28,105.104,28,118.8,28,69.3,28,32.525,28,1.4,148,88.146,148,88.146,4.407,,,,,,148,13.851,148,13.851,0.693
28,29,0,29,0,29,0,29,0,29,0,29,0,,,,,,,,,,,,,,,,,28,29,164.1,29,104.67,29,118.8,29,69.3,29,32.512,29,1.299,149,79.112,149,79.112,3.956,,,,,,149,16.292,149,16.292,0.815
29,30,0,30,0,30,0,30,0,30,0,30,0,,,,,,,,,,,,,,,,,29,30,164.1,30,104.607,30,118.8,30,69.3,30,32.505,30,-0.474,150,79.105,150,79.105,3.955,,,,,,150,16.698,150,16.698,0.835
30,31,0,31,0,31,0,31,0,31,0,31,0,,,,,,,,,,,,,,,,,30,31,164.1,31,104.283,31,118.8,31,69.3,31,32.499,31,-2.279,151,79.118,151,79.118,3.956,,,,,,151,15.887,151,15.887,0.794
31,32,0,32,0,32,0,32,0,32,0,32,0,,,,,,,,,,,,,,,,,31,32,164.1,32,104.273,32,118.8,32,69.3,32,32.493,32,-2.083,152,99.249,152,99.249,4.962,,,,,,152,14.203,152,14.203,0.71
32,33,0,33,0,33,0,33,0,33,0,33,0,,,,,,,,,,,,,,,,,32,33,164.1,33,104.243,33,118.8,33,69.3,33,32.488,33,-5.327,153,110.972,153,110.972,5.549,,,,,,153,16.046,153,16.046,0.802
33,34,0,34,0,34,0,34,0,34,0,34,0,,,,,,,,,,,,,,,,,33,34,164.1,34,104.252,34,118.8,34,69.3,34,32.484,34,-9.993,154,105.111,154,105.111,5.256,,,,,,154,15.124,154,15.124,0.756
34,35,0,35,0,35,0,35,0,35,0,35,0,,,,,,,,,,,,,,,,,34,35,164.1,35,104.428,35,118.8,35,69.3,35,32.482,35,-9.288,155,95.006,155,95.006,4.75,,,,,,155,18.472,155,18.472,0.924
35,36,0,36,0,36,0,36,0,36,0,36,0,,,,,,,,,,,,,,,,,35,36,164.1,36,104.429,36,118.8,36,69.3,36,32.479,36,-10.36,156,97.062,156,97.062,4.853,,,,,,156,18.749,156,18.749,0.937
36,37,0,37,0,37,0,37,0,37,0,37,0,,,,,,,,,,,,,,,,,36,37,164.1,37,104.416,37,118.8,37,69.3,37,32.476,37,-11.465,157,92.949,157,92.949,4.647,,,,,,157,18.196,157,18.196,0.91
37,38,0,38,0,38,0,38,0,38,0,38,0,,,,,,,,,,,,,,,,,37,38,164.1,38,104.322,38,118.8,38,69.3,38,32.478,38,-6.883,158,82.951,158,82.951,4.148,,,,,,158,18.2,158,18.2,0.91
38,39,0,39,0,39,0,39,0,39,0,39,0,,,,,,,,,,,,,,,,,38,39,164.1,39,103.346,39,118.8,39,69.3,39,32.469,39,-2.375,159,80.99,159,80.99,4.049,,,,,,159,20.868,159,20.868,1.043
39,40,0,40,0,40,0,40,0,40,0,40,0,,,,,,,,,,,,,,,,,39,40,164.1,40,103.197,40,118.8,40,69.3,40,32.464,40,-0.89,160,81.971,160,81.971,4.099,,,,,,160,19.534,160,19.534,0.977
40,41,0,41,0,41,0,41,0,41,0,41,0,,,,,,,,,,,,,,,,,40,41,164.1,41,103.167,41,118.8,41,69.3,41,32.464,41,-1.467,161,83.473,161,83.473,4.174,,,,,,161,19.769,161,19.769,0.988
41,42,0,42,0,42,0,42,0,42,0,42,0,,,,,,,,,,,,,,,,,41,42,164.1,42,103.337,42,118.8,42,69.3,42,32.465,42,-0.841,162,85.143,162,85.143,4.257,,,,,,162,20.117,162,20.117,1.006
42,43,0,43,0,43,0,43,0,43,0,43,0,,,,,,,,,,,,,,,,,42,43,164.1,43,103.204,43,118.8,43,69.3,43,32.466,43,-3.891,163,81.804,163,81.804,4.09,,,,,,163,19.422,163,19.422,0.971
43,44,0,44,0,44,0,44,0,44,0,44,0,,,,,,,,,,,,,,,,,43,44,164.1,44,103.226,44,118.8,44,69.3,44,32.467,44,-8.037,164,74.803,164,74.803,3.74,,,,,,164,18.478,164,18.478,0.924
44,45,0,45,0,45,0,45,0,45,0,45,0,,,,,,,,,,,,,,,,,44,45,164.1,45,102.717,45,118.8,45,69.3,45,32.468,45,-5.816,165,74.891,165,74.891,3.745,,,,,,165,19.716,165,19.716,0.986
45,46,0,46,0,46,0,46,0,46,0,46,0,,,,,,,,,,,,,,,,,45,46,164.1,46,102.65,46,118.8,46,69.3,46,32.47,46,-6.492,166,74.847,166,74.847,3.742,,,,,,166,19.097,166,19.097,0.955
46,47,0,47,0,47,0,47,0,47,0,47,0,,,,,,,,,,,,,,,,,46,47,164.1,47,102.687,47,118.8,47,69.3,47,32.473,47,-8.636,167,72.782,167,72.782,3.639,,,,,,167,17.864,167,17.864,0.893
47,48,0,48,0,48,0,48,0,48,0,48,0,,,,,,,,,,,,,,,,,47,48,164.1,48,102.683,48,118.8,48,69.3,48,32.476,48,-7.143,168,75.91,168,75.91,3.796,,,,,,168,17.94,168,17.94,0.897
48,49,0,49,0,49,0,49,0,49,0,49,0,,,,,,,,,,,,,,,,,48,49,164.1,49,102.697,49,118.8,49,69.3,49,32.48,49,-8.136,169,69.654,169,69.654,3.483,,,,,,169,17.789,169,17.789,0.889
49,50,0,50,0,50,0,50,0,50,0,50,0,,,,,,,,,,,,,,,,,49,50,164.1,50,102.737,50,118.8,50,69.3,50,32.484,50,-10.979,170,63.689,170,63.689,3.184,,,,,,170,17.996,170,17.996,0.9
50,51,0,51,0,51,0,51,0,51,0,51,0,,,,,,,,,,,,,,,,,50,51,164.1,51,102.751,51,118.8,51,69.3,51,32.488,51,-11.869,171,63.176,171,63.176,3.159,,,,,,171,19.472,171,19.472,0.974
51,52,0,52,0,52,0,52,0,52,0,52,0,,,,,,,,,,,,,,,,,51,52,164.1,52,102.37,52,118.8,52,69.3,52,32.493,52,-7.276,172,63.432,172,63.432,3.172,,,,,,172,18.734,172,18.734,0.937
52,53,0,53,0,53,0,53,0,53,0,53,0,,,,,,,,,,,,,,,,,52,53,164.1,53,102.167,53,118.8,53,69.3,53,32.499,53,-6.292,173,68.045,173,68.045,3.402,,,,,,173,22.069,173,22.069,1.103
53,54,0,54,0,54,0,54,0,54,0,54,0,,,,,,,,,,,,,,,,,53,54,164.1,54,102.21,54,118.8,54,69.3,54,32.505,54,-10.332,174,71.016,174,71.016,3.551,,,,,,174,21.912,174,21.912,1.096
54,55,0,55,0,55,0,55,0,55,0,55,0,,,,,,,,,,,,,,,,,54,55,164.1,55,102.161,55,118.8,55,69.3,55,32.511,55,-11.238,175,65.074,175,65.074,3.254,,,,,,175,22.225,175,22.225,1.111
55,56,0,56,0,56,0,56,0,56,0,56,0,,,,,,,,,,,,,,,,,55,56,164.1,56,101.656,56,118.8,56,69.3,56,32.518,56,-6.689,176,59.247,176,59.247,2.962,,,,,,176,21.876,176,21.876,1.094
56,57,0,57,0,57,0,57,0,57,0,57,0,,,,,,,,,,,,,,,,,56,57,164.1,57,101.654,57,118.8,57,69.3,57,32.525,57,-7.592,,,,,,,,,,,,,,,
57,58,0,58,0,58,0,58,0,58,0,58,0,,,,,,,,,,,,,,,,,57,58,164.1,58,101.714,58,118.8,58,69.3,58,32.533,58,-12.489,,,,,,,,,,,,,,,
58,59,0,59,0,59,0,59,0,59,0,59,0,,,,,,,,,,,,,,,,,58,59,164.1,59,101.76,59,118.8,59,69.3,59,32.541,59,-14.365,,,,,,,,,,,,,,,
59,60,0,60,0,60,0,60,0,60,0,60,0,,,,,,,,,,,,,,,,,59,60,164.1,60,101.744,60,118.8,60,69.3,60,32.549,60,-12.852,,,,,,,,,,,,,,,
60,61,0,61,0,61,0,61,0,61,0,61,0,,,,,,,,,,,,,,,,,60,61,164.1,61,101.499,61,118.8,61,69.3,61,32.558,61,-9.443,,,,,,,,,,,,,,,
61,62,0,62,0,62,0,62,0,62,0,62,0,,,,,,,,,,,,,,,,,61,62,164.1,62,101.476,62,118.8,62,69.3,62,32.568,62,-8.605,,,,,,,,,,,,,,,
62,63,0,63,0,63,0,63,0,63,0,63,0,,,,,,,,,,,,,,,,,62,63,164.1,63,101.268,63,118.8,63,69.3,63,32.577,63,-7.539,,,,,,,,,,,,,,,
63,64,0,64,0,64,0,64,0,64,0,64,0,,,,,,,,,,,,,,,,,63,64,164.1,64,101.257,64,118.8,64,69.3,64,32.588,64,-9.467,,,,,,,,,,,,,,,
64,65,0,65,0,65,0,65,0,65,0,65,0,,,,,,,,,,,,,,,,,64,65,164.1,65,101.215,65,118.8,65,69.3,65,32.598,65,-10.874,,,,,,,,,,,,,,,
65,66,0,66,0,66,0,66,0,66,0,66,0,,,,,,,,,,,,,,,,,65,66,164.1,66,99.974,66,118.8,66,69.3,66,32.609,66,-5.782,,,,,,,,,,,,,,,
66,67,0,67,0,67,0,67,0,67,0,67,0,,,,,,,,,,,,,,,,,66,67,164.1,67,98.493,67,118.8,67,69.3,67,32.604,67,-1.672,,,,,,,,,,,,,,,
67,68,0,68,0,68,0,68,0,68,0,68,0,,,,,,,,,,,,,,,,,67,68,164.1,68,97.12,68,118.8,68,69.3,68,32.584,68,0.769,,,,,,,,,,,,,,,
68,69,0,69,0,69,0,69,0,69,0,69,0,,,,,,,,,,,,,,,,,68,69,164.1,69,95.94,69,118.8,69,69.3,69,32.562,69,2.635,,,,,,,,,,,,,,,
69,70,0,70,0,70,0,70,0,70,0,70,0,,,,,,,,,,,,,,,,,69,70,164.1,70,95.036,70,118.8,70,69.3,70,32.552,70,4.653,,,,,,,,,,,,,,,
70,71,0,71,0,71,0,71,0,71,0,71,0,,,,,,,,,,,,,,,,,70,71,164.1,71,94.408,71,118.8,71,69.3,71,32.572,71,4.942,,,,,,,,,,,,,,,
71,72,0,72,0,72,0,72,0,72,0,72,0,,,,,,,,,,,,,,,,,71,72,164.1,72,93.939,72,118.8,72,69.3,72,32.598,72,7.006,,,,,,,,,,,,,,,
72,73,0,73,0,73,0,73,0,73,0,73,0,,,,,,,,,,,,,,,,,72,73,164.1,73,93.526,73,118.8,73,69.3,73,32.636,73,8.187,,,,,,,,,,,,,,,
73,74,0,74,0,74,0,74,0,74,0,74,0,,,,,,,,,,,,,,,,,73,74,164.1,74,93.155,74,118.8,74,69.3,74,32.677,74,7.856,,,,,,,,,,,,,,,
74,75,0,75,0,75,0,75,0,75,0,75,0,,,,,,,,,,,,,,,,,74,75,164.1,75,92.868,75,118.8,75,69.3,75,32.728,75,9.386,,,,,,,,,,,,,,,
75,76,0,76,0,76,0,76,0,76,0,76,0,,,,,,,,,,,,,,,,,75,76,164.1,76,92.574,76,118.8,76,69.3,76,32.796,76,10.571,,,,,,,,,,,,,,,
76,77,0,77,0,77,0,77,0,77,0,77,0,,,,,,,,,,,,,,,,,76,77,164.1,77,92.351,77,118.8,77,69.3,77,32.845,77,7.068,,,,,,,,,,,,,,,
77,78,0,78,0,78,0,78,0,78,0,78,0,,,,,,,,,,,,,,,,,77,78,164.1,78,92.194,78,118.8,78,69.3,78,32.881,78,5.752,,,,,,,,,,,,,,,
78,79,0,79,0,79,0,79,0,79,0,79,0,,,,,,,,,,,,,,,,,78,79,164.1,79,91.942,79,118.8,79,69.3,79,32.917,79,6.019,,,,,,,,,,,,,,,
79,80,0,80,0,80,0,80,0,80,0,80,0,,,,,,,,,,,,,,,,,79,80,164.1,80,91.679,80,118.8,80,69.3,80,32.961,80,7.249,,,,,,,,,,,,,,,
80,81,0,81,0,81,0,81,0,81,0,81,0,,,,,,,,,,,,,,,,,80,81,164.1,81,91.475,81,118.8,81,69.3,81,33.003,81,6.458,,,,,,,,,,,,,,,
81,82,0,82,0,82,0,82,0,82,0,82,0,,,,,,,,,,,,,,,,,81,82,164.1,82,91.343,82,118.8,82,69.3,82,33.043,82,6.143,,,,,,,,,,,,,,,
82,83,0,83,0,83,0,83,0,83,0,83,0,,,,,,,,,,,,,,,,,82,83,164.1,83,91.175,83,118.8,83,69.3,83,33.08,83,5.386,,,,,,,,,,,,,,,
83,84,0,84,0,84,0,84,0,84,0,84,0,,,,,,,,,,,,,,,,,83,84,164.1,84,104.185,84,118.8,84,69.3,84,33.199,84,2.448,,,,,,,,,,,,,,,
84,85,0,85,0,85,0,85,0,85,0,85,0,,,,,,,,,,,,,,,,,84,85,164.1,85,106.066,85,118.8,85,69.3,85,33.24,85,2.027,,,,,,,,,,,,,,,
85,86,0,86,0,86,0,86,0,86,0,86,0,,,,,,,,,,,,,,,,,85,86,164.1,86,105.511,86,118.8,86,69.3,86,33.26,86,1.067,,,,,,,,,,,,,,,
86,87,0,87,0,87,0,87,0,87,0,87,0,,,,,,,,,,,,,,,,,86,87,164.1,87,105.127,87,118.8,87,69.3,87,33.279,87,-0.48,,,,,,,,,,,,,,,
87,88,0,88,0,88,0,88,0,88,0,88,0,,,,,,,,,,,,,,,,,87,88,164.1,88,103.636,88,118.8,88,69.3,88,33.299,88,1.597,,,,,,,,,,,,,,,
88,89,0,89,0,89,0,89,0,89,0,89,0,,,,,,,,,,,,,,,,,88,89,164.1,89,102.017,89,118.8,89,69.3,89,33.323,89,4.21,,,,,,,,,,,,,,,
89,90,0,90,0,90,0,90,0,90,0,90,0,,,,,,,,,,,,,,,,,89,90,164.1,90,100.151,90,118.8,90,69.3,90,33.251,90,6.682,,,,,,,,,,,,,,,
90,91,0,91,0,91,0,91,0,91,0,91,0,,,,,,,,,,,,,,,,,90,91,164.1,91,98.203,91,118.8,91,69.3,91,33.043,91,8.252,,,,,,,,,,,,,,,
91,92,0,92,0,92,0,92,0,92,0,92,0,,,,,,,,,,,,,,,,,91,92,164.1,92,101.597,92,118.8,92,69.3,92,31.855,92,11.629,,,,,,,,,,,,,,,
92,93,0,93,0,93,0,93,0,93,0,93,0,,,,,,,,,,,,,,,,,92,93,164.1,93,99.826,93,118.8,93,69.3,93,31.718,93,10.461,,,,,,,,,,,,,,,
93,94,0,94,0,94,0,94,0,94,0,94,0,,,,,,,,,,,,,,,,,93,94,164.1,94,98.105,94,118.8,94,69.3,94,31.761,94,6.307,,,,,,,,,,,,,,,
94,95,0,95,0,95,0,95,0,95,0,95,0,,,,,,,,,,,,,,,,,94,95,164.1,95,96.515,95,118.8,95,69.3,95,31.737,95,6.771,,,,,,,,,,,,,,,
95,96,0,96,0,96,0,96,0,96,0,96,0,,,,,,,,,,,,,,,,,95,96,164.1,96,95.451,96,118.8,96,69.3,96,31.549,96,8.754,,,,,,,,,,,,,,,
96,97,0,97,0,97,0,97,0,97,0,97,0,,,,,,,,,,,,,,,,,96,97,164.1,97,95.391,97,118.8,97,69.3,97,31.505,97,8.113,,,,,,,,,,,,,,,
97,98,0,98,0,98,0,98,0,98,0,98,0,,,,,,,,,,,,,,,,,97,98,164.1,98,101.127,98,118.8,98,69.3,98,31.556,98,6.156,,,,,,,,,,,,,,,
98,99,0,99,0,99,0,99,0,99,0,99,0,,,,,,,,,,,,,,,,,98,99,164.1,99,101.851,99,118.8,99,69.3,99,31.536,99,5.465,,,,,,,,,,,,,,,
99,100,0,100,0,100,0,100,0,100,0,100,0,,,,,,,,,,,,,,,,,99,100,164.1,100,124.018,100,118.8,100,69.3,100,31.681,100,4.46,,,,,,,,,,,,,,,
100,101,0,101,0,101,0,101,0,101,0,101,0,,,,,,,,,,,,,,,,,100,101,164.1,101,121.229,101,118.8,101,69.3,101,31.463,101,5.619,,,,,,,,,,,,,,,
101,102,0,102,0,102,0,102,0,102,0,102,0,,,,,,,,,,,,,,,,,101,102,164.1,102,118.309,102,118.8,102,69.3,102,31.09,102,7.835,,,,,,,,,,,,,,,
102,103,0,103,0,103,0,103,0,103,0,103,0,,,,,,,,,,,,,,,,,102,103,164.1,103,124.759,103,118.8,103,69.3,103,30.204,103,10.435,,,,,,,,,,,,,,,
103,104,0,104,0,104,0,104,0,104,0,104,0,,,,,,,,,,,,,,,,,103,104,164.1,104,121.612,104,118.8,104,69.3,104,29.893,104,9.755,,,,,,,,,,,,,,,
104,105,0,105,0,105,0,105,0,105,0,105,0,,,,,,,,,,,,,,,,,104,105,164.1,105,119.819,105,118.8,105,69.3,105,29.439,105,9.913,,,,,,,,,,,,,,,
105,106,0,106,0,106,0,106,0,106,0,106,0,,,,,,,,,,,,,,,,,105,106,164.1,106,118.731,106,118.8,106,69.3,106,29.126,106,10.058,,,,,,,,,,,,,,,
106,107,0,107,0,107,0,107,0,107,0,107,0,,,,,,,,,,,,,,,,,106,107,164.1,107,116.589,107,118.8,107,69.3,107,28.546,107,12.119,,,,,,,,,,,,,,,
107,108,0,108,0,108,0,108,0,108,0,108,0,,,,,,,,,,,,,,,,,107,108,164.1,108,114.276,108,118.8,108,69.3,108,28.23,108,13.278,,,,,,,,,,,,,,,
108,109,0,109,0,109,0,109,0,109,0,109,0,,,,,,,,,,,,,,,,,108,109,164.1,109,139.899,109,118.8,109,69.3,109,27.63,109,12.971,,,,,,,,,,,,,,,
109,110,0,110,0,110,0,110,0,110,0,110,0,,,,,,,,,,,,,,,,,109,110,164.1,110,135.939,110,118.8,110,69.3,110,26.507,110,10.726,,,,,,,,,,,,,,,
110,111,0,111,0,111,0,111,0,111,0,111,0,,,,,,,,,,,,,,,,,110,111,164.1,111,130.922,111,118.8,111,69.3,111,25.95,111,8.202,,,,,,,,,,,,,,,
111,112,0,112,0,112,0,112,0,112,0,112,0,,,,,,,,,,,,,,,,,111,112,164.1,112,126.827,112,118.8,112,69.3,112,25.621,112,6.876,,,,,,,,,,,,,,,
112,113,0,113,0,113,0,113,0,113,0,113,0,,,,,,,,,,,,,,,,,112,113,164.1,113,122.942,113,118.8,113,69.3,113,25.415,113,6.045,,,,,,,,,,,,,,,
113,114,0,114,0,114,0,114,0,114,0,114,0,,,,,,,,,,,,,,,,,113,114,164.1,114,119.169,114,118.8,114,69.3,114,25.282,114,7.222,,,,,,,,,,,,,,,
114,115,0,115,0,115,0,115,0,115,0,115,0,,,,,,,,,,,,,,,,,114,115,164.1,115,118.553,115,118.8,115,69.3,115,25.09,115,9.692,,,,,,,,,,,,,,,
115,116,0,116,0,116,0,116,0,116,0,116,0,,,,,,,,,,,,,,,,,115,116,164.1,116,116.434,116,118.8,116,69.3,116,25.073,116,9.614,,,,,,,,,,,,,,,
116,117,0,117,0,117,0,117,0,117,0,117,0,,,,,,,,,,,,,,,,,116,117,164.1,117,112.883,117,118.8,117,69.3,117,25.081,117,9.291,,,,,,,,,,,,,,,
117,118,0,118,0,118,0,118,0,118,0,118,0,,,,,,,,,,,,,,,,,117,118,164.1,118,109.959,118,118.8,118,69.3,118,25.116,118,9.696,,,,,,,,,,,,,,,
118,119,0,119,0,119,0,119,0,119,0,119,0,,,,,,,,,,,,,,,,,118,119,164.1,119,108.089,119,118.8,119,69.3,119,25.179,119,10.749,,,,,,,,,,,,,,,
119,120,0,120,0,120,0,120,0,120,0,120,0,,,,,,,,,,,,,,,,,119,120,164.1,120,106.454,120,118.8,120,69.3,120,25.28,120,12.163,,,,,,,,,,,,,,,
120,121,0,121,0,121,0,121,0,121,0,121,0,,,,,,,,,,,,,,,,,120,121,164.1,121,105.366,121,118.8,121,69.3,121,25.423,121,13.269,,,,,,,,,,,,,,,
121,122,0,122,0,122,0,122,0,122,0,122,0,,,,,,,,,,,,,,,,,121,122,164.1,122,105.152,122,118.8,122,69.3,122,25.6,122,13.558,,,,,,,,,,,,,,,
122,123,0,123,0,123,0,123,0,123,0,123,0,,,,,,,,,,,,,,,,,122,123,164.1,123,103.937,123,118.8,123,69.3,123,25.809,123,14.672,,,,,,,,,,,,,,,
123,124,0,124,0,124,0,124,0,124,0,124,0,,,,,,,,,,,,,,,,,123,124,164.1,124,103.045,124,118.8,124,69.3,124,26.127,124,17.602,,,,,,,,,,,,,,,
124,125,0,125,0,125,0,125,0,125,0,125,0,,,,,,,,,,,,,,,,,124,125,164.1,125,102.454,125,118.8,125,69.3,125,26.471,125,17.264,,,,,,,,,,,,,,,
125,126,9.9,126,0,126,0,126,0,126,0.01,126,0,,,,,,,,,,,,,,,,,125,126,164.1,126,103.187,126,118.8,126,69.3,126,26.784,126,15.738,,,,,,,,,,,,,,,
